Title,Department,Location,Salary,Closing Date,UID,URL,Full Ad Text,scraped_date
Legal Services Administrator,Care Quality Commission,"Leeds, London","24,244",2024-01-07,331571,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTIzJmpvYmxpc3Rfdmlld192YWM9MTg5MTE3NCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NTY0LTJjNzVlYzllMmU3MWQzMzVhZTM2N2MxMjQ3ZGFmYTQxMWFhNTgxOGI=,,
MoJ Property Directorate - Area Property Operations Manager (South West) (Ref: 82435),Ministry of Justice,"This position is based at HM PRISON BRISTOL BRISTOL, BS7 8PS, HM Prison Dartmoor, PL20 6RR, HM Prison Erlestoke, SN10 5TU, HM Prison Leyhill, GL12 8BT, HM PRISON VERNE PORTLAND, DT5 1EQ, HMP CHANNINGS WOOD ... see the job advert for full location information","39,868",2024-06-10,331572,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTExNzImb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTgyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NzkwLWJiMTY4YWJkYWRjNzQ1YzA5M2U4OWJiYWYzYzU2OGFiZjA3NjJiNjQ=,,
Band 3 Nuclear Safety Inspector – Electrical Engineering,Office for Nuclear Regulation,"Bootle, Cheltenham, London","77,942",2024-05-31,331574,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT04MiZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkxMjIxJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NzkwLWJiMTY4YWJkYWRjNzQ1YzA5M2U4OWJiYWYzYzU2OGFiZjA3NjJiNjQ=,,
MoJ Property Directorate - Area Property Operations Manager (South Central and South East) (Ref: 82431),Ministry of Justice,"This position is based at HM Prison Bullingdon, OX25 1PZ, HM Prison Coldingley, GU24 9EX, HM Prison Cookham Wood, ME1 3LU, HM Prison Downview, SM2 5PD, HM PRISON EAST SUTTON PARK MAIDSTONE, ME17 3DF, HM ... see the job advert for full location information","39,868",2024-06-10,331577,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT04MiZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkxMTc2JnJlcXNpZz0xNzA0MjI5NzkwLWJiMTY4YWJkYWRjNzQ1YzA5M2U4OWJiYWYzYzU2OGFiZjA3NjJiNjQ=,,
**Illegal Migration Operations Command - Illegal Migration Relocation & Returns Service - Operations/Team Leader,Home Office,Conference House - Portishead,"41,600",2024-01-08,331578,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT0zMyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkxNTYxJnJlcXNpZz0xNzA0MjI5NjAzLWYzNjg2NWYxYWMxYmI0YzFlYjFhNTA1NDU1NjgxYjhlYWI3ODk3NDg=,,
Civilian Dental Practitioner,Ministry of Defence,"Dental Centre, Helles Barracks, Catterick Garrison, North Yorkshire, DL9 4SP","54,758",2024-01-17,331579,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTEzMDAmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTY1JnJlcXNpZz0xNzA0MjI5NzI1LWYzZjdhNGFhNGI2ODg0NjQxODgzZWFjMDY1Y2E0NDE1M2I4YzZmNTY=,,
Business Support Officer (Ref: 82475),Ministry of Justice,"This position is based at 102 PETTY FRANCE (MOJ) LONDON, SW1H 9AJ","31,169",2024-01-08,331582,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT0zMSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTIwMDkmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NTk1LWYwMTgzMGFmNzE2ZWUxYzcwYTYzOTk5NThiODZmZWZlOTU0YmI3Njc=,,
**Immigration Enforcement - Training & Skills - Professional Development Manager,Home Office,"Priestly House - Basingstoke, General Buildings - Cardiff, Pembroke House - Castle Donington, Ashdown House - Gatwick (Crawley), Apollo & Lunar House - Croydon, Priory Court - Dover, Southfield House - Durham, ... see the job advert for full location information","34,350",2024-01-08,331583,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0zMCZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkyNDcwJm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NTkxLWY4NTNkZjJiZGZhNzgxNzFjMDc0YzY0YzYxMTRmYjliYWNhNTMwMmQ=,,
**Immigration Enforcement – Chief Immigration Officer for Reporting & Offender Management,Home Office,"Franklin Court - Bedford, Lunar House - Croydon, Custom House - Felixstowe, Norman House - Portsmouth, Enterprise House - Stansted","34,350",2024-01-17,331585,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxNTQxJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT02NSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NzI1LWYzZjdhNGFhNGI2ODg0NjQxODgzZWFjMDY1Y2E0NDE1M2I4YzZmNTY=,,
"PB4, Software Developer, HEO, Perm, Liverpool, Newport",Charity Commission,"Bootle, North West England, L20 7HS : Newport, Wales, NP10 8XG","35,086",2024-01-14,331589,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT01MCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkyNDcxJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjY3LTlhMTNjZDY5MGNkMzZmY2U5OWY2ZmMwMTJlY2M1N2Q0YzYzNmNiZTg=,,
"Navy Health, Safety and Environment Protection Administrator – HMS Excellent",Ministry of Defence,"HMS Excellent, Portsmouth","23,310",2024-01-12,331595,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9NDcmcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODkxNjQwJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjU2LWVmYjFkZjhmYmMyYjMyODdhYWRhZGFmYWM3NTU3MmU2NzMxNzYxNTI=,,
Expenditure Manager,Forestry Commission - Forest Research,"This role will be based at Alice Holt, Farnham, Surrey GU10 4LH or in the Northern Research Station, Roslin EH25 9SY with blended working which gives you the option to work some of the week from home, and ... see the job advert for full location information","35,870",2024-01-14,331598,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTUxJnBhZ2VjbGFzcz1Kb2JzJmpvYmxpc3Rfdmlld192YWM9MTg5MjEzMyZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NjcxLTA0MzhhNjczZTEyYjYwYjkxMDhmYjAyNWJmZTlhMDc1ZGQxYjZjNDE=,,
Senior Policy Advisor - Emerging Technology Policy Unit ,Home Office,London: 2 Marsham Street (2MS),"45,600",2024-01-14,331601,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHBhZ2U9NTMmam9ibGlzdF92aWV3X3ZhYz0xODkxNzAwJnJlcXNpZz0xNzA0MjI5Njc4LTc1YTUzNTE5MDhlNTMwZjQwYWRiOWNiM2JmZTEwNTcyMzFiMGZmOTQ=,,
International Bilateral Fund: Grant Manager,UK Space Agency,"Didcot, South East England, OX11 0QR","37,470",2024-01-08,331607,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0zMyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTE0ODMmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjAzLWYzNjg2NWYxYWMxYmI0YzFlYjFhNTA1NDU1NjgxYjhlYWI3ODk3NDg=,,
Army  -  Civilian Driver,Ministry of Defence,"Regents Park Barracks, Albany Street, London NW1 4AL","21,610",2024-01-09,331610,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODkyNDA3JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHBhZ2U9Mzcmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjE4LTRhZDI0MjI3YTRmOGY0MTBiNTBhMWQzNzc3NThlYTlhMzI1Nzc2NTc=,,
Schedule and Benefits Manager - Strategic Programmes Portfolio Office,Ministry of Defence,Hybrid working with two/three days a week in the London office preferred.,"43,080",2024-01-09,331611,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT0zOCZwYWdlY2xhc3M9Sm9icyZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTE2MzYmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NjIxLTg3NjJlMDkzNGI3YmU4Mzg4YWIyY2IzNDZjZjhlZDUxMDI4MGNiMGU=,,
**Immigration Enforcement - ICE ROM North - ICE East Midlands - Immigration Officers,Home Office,"Police Station - Boston, Pembroke House - Castle Donington, Melbourne House - Stoke-on-Trent","28,000",2024-01-17,331612,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT02NSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg5MTU0NiZvd25lcj01MDcwMDAwJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NzI1LWYzZjdhNGFhNGI2ODg0NjQxODgzZWFjMDY1Y2E0NDE1M2I4YzZmNTY=,,
National Parking Manager,Forestry Commission,National,"35,870",2024-02-03,331613,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTI5NjgmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTgwJnJlcXNpZz0xNzA0MjI5NzgzLWEyZWM3YWI3Zjg0MGU0OWM3NGRiNjY5Y2I3YmM4OWIxMzMxNDk4YzM=,,
Band 3 Nuclear Safety Inspector – Probabilistic Safety Analysis,Office for Nuclear Regulation,"Bootle, Cheltenham, London","77,942",2024-05-31,331614,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxMjIwJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImc2VhcmNocGFnZT04MiZvd25lcj01MDcwMDAwJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NzkwLWJiMTY4YWJkYWRjNzQ1YzA5M2U4OWJiYWYzYzU2OGFiZjA3NjJiNjQ=,,
MoJ Property Directorate - Area Property Operations Manager (East of England) (Ref:82426),Ministry of Justice,"This position can be based at HM Prison Bure, NR10 5AJ, HM Prison Chelmsford, CM2 6LQ, HM Prison Highpoint, CB8 9YG, HM Prison Wayland, IP25 6RL, HMP BEDFORD BEDFORD, MK40 1HG, STIRLING HOUSE NEWMARKET, ... see the job advert for full location information","39,868",2024-06-10,331615,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODkxMTk1JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXJ0eXBlPWZhaXImb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTgyJnJlcXNpZz0xNzA0MjI5NzkwLWJiMTY4YWJkYWRjNzQ1YzA5M2U4OWJiYWYzYzU2OGFiZjA3NjJiNjQ=,,
Cyber Security: Education and Awareness Lead ,"Foreign, Commonwealth & Development Office","East Kilbride, London, Milton Keynes","53,000",2024-01-15,331617,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=dXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmc2VhcmNocGFnZT02MCZvd25lcnR5cGU9ZmFpciZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4OTE0OTYmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NzA2LTAxN2FhYjFjMzUyYjg0ZGQ5ODQ3Y2RjYjYyYmNhMWNmNjg0MmE0NGI=,,
PMO/Project Support Officer(Ref: 81677),Ministry of Justice,"East Midlands (England), East of England, London (region), North East England, North West England, Scotland, South East England, South West England, Wales, West Midlands (England), Yorkshire and the Humber","32,827",2024-03-25,331625,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxMjA0Jm93bmVydHlwZT1mYWlyJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hwYWdlPTgxJnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5Nzg2LWViMTUwNTRiZGRlYWQ4OTk0MGIyYWQxMmExYjk3ODI1NGVmOWM5MDE=,,
Project Support Officers,Defence Science and Technology Laboratory,"Dstl Porton Down, Salisbury - SP4 0JQ","22,754",2024-01-07,331626,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZqb2JsaXN0X3ZpZXdfdmFjPTE4OTEzNTImb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTIzJnJlcXNpZz0xNzA0MjI5NTY0LTJjNzVlYzllMmU3MWQzMzVhZTM2N2MxMjQ3ZGFmYTQxMWFhNTgxOGI=,,
Marine Manufacturing - Senior Policy Officer,Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","39,384",2024-01-28,331627,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODkyNzUwJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnNlYXJjaHBhZ2U9NzUmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NzYzLWQ5M2QxMDU2ZmEwNTdkMDU5ODMyZTRmOWFjYmE2YTZlZThmNzQ4OWY=,,
Royal Air Force Police Data Protection Advisor,Ministry of Defence,"HQ Air Security Force, RAF Honington","35,290",2024-01-19,331635,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9Njcmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkxNjI4JnJlcXNpZz0xNzA0MjI5NzMyLWNiYWE5Nzk2N2Y3NmJjYzk1ZTBjOGZjZDVkZjViNjE0MzIwNDBlYWY=,,
Benefits Framework Lead,Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","53,560",2024-01-19,331637,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTY2JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZwYWdlY2xhc3M9Sm9icyZvd25lcnR5cGU9ZmFpciZzZWFyY2hzb3J0PWNsb3NpbmcmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODkyNzQ3JnJlcXNpZz0xNzA0MjI5NzI4LTlhYWFmZDlmOWEzZjczYWYxYWY4NTNmYmMzOWRjZGRlMWM2OGJmOTg=,,
DIO – Ministry of Defence Guard Service – Security Officer Shift Worker,Ministry of Defence,"DM Gosport, Fareham Road, Gosport, PO13 0AH","30,000",2024-01-08,331638,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT0zMSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmb3duZXJ0eXBlPWZhaXImc2VhcmNoc29ydD1jbG9zaW5nJmpvYmxpc3Rfdmlld192YWM9MTg5MjA1MSZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NTk1LWYwMTgzMGFmNzE2ZWUxYzcwYTYzOTk5NThiODZmZWZlOTU0YmI3Njc=,,
**Illegal Migrations Operations Command (IMOC) - Illegal Migration Relocation & Returns Service - Strategic Operations Team Leader,Home Office,Portishead - Conference House,"28,000",2024-01-08,331641,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyMjgxJnNlYXJjaHBhZ2U9MzAmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NTkxLWY4NTNkZjJiZGZhNzgxNzFjMDc0YzY0YzYxMTRmYjliYWNhNTMwMmQ=,,
Senior Responsible Owners - Army Programmes ,Ministry of Defence,"Andover, Bristol, London, Warminster","75,000",2024-01-14,331646,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnBhZ2VjbGFzcz1Kb2JzJm93bmVydHlwZT1mYWlyJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTU0Jm93bmVyPTUwNzAwMDAmam9ibGlzdF92aWV3X3ZhYz0xODkxMzU0JnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NjgzLTVjNWUzNGFlMWQzNGY0NjkzN2MwMDcyYjNkODY2ZTRiMDE0MjM2OGU=,,
"Policy Adviser, Postal Policy",Department for Business and Trade,"Belfast, Birmingham, Cardiff, Darlington, Edinburgh, London, Salford","27,329",2024-01-12,331649,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmc2VhcmNocGFnZT00NyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmam9ibGlzdF92aWV3X3ZhYz0xODkyMjYxJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NjU2LWVmYjFkZjhmYmMyYjMyODdhYWRhZGFmYWM3NTU3MmU2NzMxNzYxNTI=,,
Consultant Psychiatrist,Ministry of Defence,"Department of Community Mental Health (DCMH), RAF Brize Norton, Carterton, Oxford, OX18 3LX","93,666",2024-01-09,331654,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJm93bmVydHlwZT1mYWlyJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTEyMjQmcGFnZWNsYXNzPUpvYnMmb3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTM4JnJlcXNpZz0xNzA0MjI5NjIxLTg3NjJlMDkzNGI3YmU4Mzg4YWIyY2IzNDZjZjhlZDUxMDI4MGNiMGU=,,
"DBS Head of Financial, Procurement and Civilian People Services                                                                                 ",Ministry of Defence,Bristol or Blackpool. Regular travel between Defence Business Services sites within the UK and other key Ministry of Defence locations will be required. DBS currently operate a hybrid model with senior leaders ... see the job advert for full location information,"75,000",2024-02-04,331656,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4OTIyMzcmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9ODAmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NzgzLWEyZWM3YWI3Zjg0MGU0OWM3NGRiNjY5Y2I3YmM4OWIxMzMxNDk4YzM=,,
Campaigns Manager,Royal Botanic Gardens Kew,Kew Gardens,"43,123",2024-01-17,331659,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxMjI1Jm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJm93bmVyPTUwNzAwMDAmc2VhcmNocGFnZT02NSZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3Qmc2VhcmNoc29ydD1jbG9zaW5nJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0JnJlcXNpZz0xNzA0MjI5NzI1LWYzZjdhNGFhNGI2ODg0NjQxODgzZWFjMDY1Y2E0NDE1M2I4YzZmNTY=,,
Anglican Chaplain - HMP Littlehey (Part-Time) (Ref: 82438),HM Prison & Probation Service,"This position is based at HM Prison Littlehey Huntingdon, PE28 0SR","33,104",2024-01-26,331664,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9NzUmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmam9ibGlzdF92aWV3X3ZhYz0xODkxMjI4JnNlYXJjaHNvcnQ9Y2xvc2luZyZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnJlcXNpZz0xNzA0MjI5NzYzLWQ5M2QxMDU2ZmEwNTdkMDU5ODMyZTRmOWFjYmE2YTZlZThmNzQ4OWY=,,
