Title,Department,Location,Salary,Closing Date,UID,URL,Full Ad Text,scraped_date
Band 6 Physiotherapist,Ministry of Defence,"RRU Halton, RAF Halton, Aylesbury, HP22 5PG","35,392",2024-01-29,305883,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNocGFnZT03NyZvd25lcnR5cGU9ZmFpciZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODY5Njg3JnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NzcxLWJjMzNhZmFlYjRhYWIwZWNhNTk0YmIxZmY1ZTUzYmY4ODUwMmM2ZjE=,,
Aircraft Structural Repair Design Engineer,Ministry of Defence,"Wittering, East of England, PE8 6HB","35,290",2024-01-07,307023,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkxMTg0Jm93bmVydHlwZT1mYWlyJnNlYXJjaHBhZ2U9MjMmb3duZXI9NTA3MDAwMCZwYWdlYWN0aW9uPXZpZXd2YWNieWpvYmxpc3QmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NTY0LTJjNzVlYzllMmU3MWQzMzVhZTM2N2MxMjQ3ZGFmYTQxMWFhNTgxOGI=,,
Band 7 Podiatrist - Part Time,Ministry of Defence,"RAF Cranwell, Sleaford, NG34 8HB","41,659",2024-01-23,308797,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZwYWdlY2xhc3M9Sm9icyZqb2JsaXN0X3ZpZXdfdmFjPTE4NzIwODAmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmc2VhcmNoc29ydD1jbG9zaW5nJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZzZWFyY2hwYWdlPTc0Jm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NzU5LWNmMjIyOWYzZGE4M2NiMGUyOWY1NzA5MDdkODQ3M2FiMTk3ZGE2NDM=,,
Healthcare Scientific Support Worker (Cambridge),UK Health Security Agency,"Cambridge (Addenbrooke’s Hospital), CB2 0QQ","24,291",2024-01-09,309292,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTM5JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZwYWdlY2xhc3M9Sm9icyZzZWFyY2hzb3J0PWNsb3Npbmcmam9ibGlzdF92aWV3X3ZhYz0xODcyNDkwJm93bmVydHlwZT1mYWlyJnJlcXNpZz0xNzA0MjI5NjI1LWU4NmVkOTdlZmI1Yjc2N2QyMGU5Zjc3ZjI0NTJlMmU4OTI2Y2ZlNjI=,,
Lead Python Developer ,UK Health Security Agency,National,"51,824",2024-01-07,310765,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODczNjc4JnNlYXJjaHBhZ2U9MjkmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmcGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJnJlcXNpZz0xNzA0MjI5NTg3LWE2ZjRmYzFlMzA0NTNlNmNlODkyNWQ2MDA2Y2NhZWY5ZGRlOTBlOGE=,,
Civilian Dental Practitioner (CDP),Ministry of Defence,"HMS Nelson Dental Centre, Queen Street, Portsmouth, Hampshire, PO1 3HH","54,578",2024-01-08,310770,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXJ0eXBlPWZhaXImcGFnZWNsYXNzPUpvYnMmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmam9ibGlzdF92aWV3X3ZhYz0xODczNjg4JnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZvd25lcj01MDcwMDAwJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTM3JnJlcXNpZz0xNzA0MjI5NjE4LTRhZDI0MjI3YTRmOGY0MTBiNTBhMWQzNzc3NThlYTlhMzI1Nzc2NTc=,,
Navy Command - Strategic Workforce Planning Manager,Ministry of Defence,Faslane site • Hybrid working (a blend of working in the workplace and from home) is encouraged. You should expect to work 3 days a week Faslane in agreement with your Line Manager.” • There may be an option ... see the job advert for full location information,"43,080",2024-01-22,311254,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=am9ibGlzdF92aWV3X3ZhYz0xODkyMDYyJnNlYXJjaHNvcnQ9Y2xvc2luZyZzZWFyY2hwYWdlPTczJnBhZ2VjbGFzcz1Kb2JzJnVzZXJzZWFyY2hjb250ZXh0PTYzMDE2MDk0Jm93bmVydHlwZT1mYWlyJm93bmVyPTUwNzAwMDAmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnJlcXNpZz0xNzA0MjI5NzU1LTZiZGZjMTVjODFkMzE0OTQ1N2QyYjAyNWY3NzE5MjVkY2NmMDQ0N2Q=,,
Strategic Communications Manager,Driver and Vehicle Standards Agency,"Bristol, Newcastle-upon-Tyne, Nottingham, Swansea","32,603",2024-01-07,311257,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=b3duZXI9NTA3MDAwMCZzZWFyY2hwYWdlPTI4JnBhZ2VjbGFzcz1Kb2JzJnBhZ2VhY3Rpb249dmlld3ZhY2J5am9ibGlzdCZ1c2Vyc2VhcmNoY29udGV4dD02MzAxNjA5NCZzZWFyY2hzb3J0PWNsb3Npbmcmb3duZXJ0eXBlPWZhaXImam9ibGlzdF92aWV3X3ZhYz0xODg5MzU3JnJlcXNpZz0xNzA0MjI5NTgzLTc1MGFiMzQyNWI5MmFmNmRkYjYxYTE3ZDVjMWViODM0N2MyYTc0MGQ=,,
Band 6 Physiotherapist,Ministry of Defence,"Regional Rehabilitation Unit (RRU), Canada House, Rawlinson Road, Aldershot, Hampshire GU11 2EY","35,392",2024-01-08,311541,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=c2VhcmNoc29ydD1jbG9zaW5nJnNlYXJjaHBhZ2U9MzcmdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmb3duZXI9NTA3MDAwMCZqb2JsaXN0X3ZpZXdfdmFjPTE4NzQyNzImcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0Jm93bmVydHlwZT1mYWlyJnBhZ2VjbGFzcz1Kb2JzJnJlcXNpZz0xNzA0MjI5NjE4LTRhZDI0MjI3YTRmOGY0MTBiNTBhMWQzNzc3NThlYTlhMzI1Nzc2NTc=,,
Senior Python Developer ,UK Health Security Agency,National,"38,724",2024-01-07,312561,https://www.civilservicejobs.service.gov.uk/csr/index.cgi?SID=cGFnZWNsYXNzPUpvYnMmc2VhcmNoc29ydD1jbG9zaW5nJm93bmVyPTUwNzAwMDAmb3duZXJ0eXBlPWZhaXImdXNlcnNlYXJjaGNvbnRleHQ9NjMwMTYwOTQmcGFnZWFjdGlvbj12aWV3dmFjYnlqb2JsaXN0JnNlYXJjaHBhZ2U9Mjkmam9ibGlzdF92aWV3X3ZhYz0xODc1MzQzJnJlcXNpZz0xNzA0MjI5NTg3LWE2ZjRmYzFlMzA0NTNlNmNlODkyNWQ2MDA2Y2NhZWY5ZGRlOTBlOGE=,,
